id,collection_id,task_id,name,category,description,concept_id,count,q1,q3,min,max,mean,median,created_at,updated_at
1,2,3,SEX,DEMOGRAPHICS,Sex,0.0,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
2,2,3,Male,DEMOGRAPHICS,Male,,191720,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
3,2,3,Female,DEMOGRAPHICS,Female,,208280,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
4,2,3,GENOMICS,DEMOGRAPHICS,Genomics,0.0,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
5,2,3,No,DEMOGRAPHICS,No,,400000,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
6,3,5,SEX,DEMOGRAPHICS,Sex,0.0,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
7,3,5,Male,DEMOGRAPHICS,Male,,658110,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
8,3,5,Female,DEMOGRAPHICS,Female,,1687650,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
9,3,5,GENOMICS,DEMOGRAPHICS,Genomics,0.0,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
10,4,7,SEX,DEMOGRAPHICS,Sex,0.0,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
11,3,5,No,DEMOGRAPHICS,No,,2345760,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
12,4,7,Male,DEMOGRAPHICS,Male,,172570,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
13,4,7,Female,DEMOGRAPHICS,Female,,152660,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
14,4,7,GENOMICS,DEMOGRAPHICS,Genomics,0.0,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
15,4,7,No,DEMOGRAPHICS,No,,325230,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
16,1,1,SEX,DEMOGRAPHICS,Sex,0.0,21200,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
17,1,1,Male,DEMOGRAPHICS,Male,,10270,,,,,,,2025-09-26 13:56:16,2025-09-26 13:56:16
18,1,1,Female,DEMOGRAPHICS,Female,,10930,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
19,1,1,GENOMICS,DEMOGRAPHICS,Genomics,0.0,21200,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
20,1,1,No,DEMOGRAPHICS,No,,21200,,,,,,,2025-09-26 13:56:17,2025-09-26 13:56:17
21,2,4,262,Condition,Emergency Room and Inpatient Visit,262.0,40170,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
22,2,4,192279,Condition,Disorder of kidney due to diabetes mellitus,192279.0,15850,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
23,2,4,192671,Condition,Gastrointestinal hemorrhage,192671.0,36180,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
24,2,4,193782,Condition,End-stage renal disease,193782.0,3900,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
25,2,4,195771,Condition,Secondary diabetes mellitus,195771.0,10090,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
26,2,4,198185,Condition,Chronic renal failure,198185.0,48000,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
27,2,4,201826,Condition,Type 2 diabetes mellitus,201826.0,55770,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
28,2,4,254761,Condition,Cough,254761.0,47650,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
29,2,4,255573,Condition,Chronic obstructive pulmonary disease,255573.0,140100,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
30,2,4,316866,Condition,Hypertensive disorder,316866.0,112070,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
31,2,4,317009,Condition,Asthma,317009.0,63620,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
32,2,4,319049,Condition,Acute respiratory failure,319049.0,20340,,,,,,,2025-09-26 13:56:25,2025-09-26 13:56:25
33,2,4,319835,Condition,Congestive heart failure,319835.0,47730,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
34,2,4,321588,Condition,Heart disease,321588.0,31940,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
35,2,4,375557,Condition,Cerebral embolism,375557.0,20120,,,,,,,2025-09-26 13:56:26,2025-09-26 13:56:26
